193.575	0.801324
696.26	1.60468
793.048	2.50532
1091.01	3.70731
1385.43	5.60927
1681.87	7.11125
1774.1	8.91186
2173.91	10.0145
2471.37	11.3165
2870.68	12.5192
3168.64	13.7212
3368.81	14.2225
3567.95	14.9238
3767.61	15.5252
4271.31	16.1285
4674.17	16.6312
5077.53	17.0339
5582.24	17.4372
5984.6	18.0399
6895.21	18.346
7704.98	18.5514
8311.04	18.9554
9222.66	19.0615
9628.05	19.0642
10337.5	19.069
11046.4	19.1737
11349.4	19.3757
12058.4	19.4804
12666	19.5845
13173.2	19.4879
13984	19.4933
14388.9	19.596
15098.8	19.5007
15500.7	20.2034
16210.1	20.2081
16819.2	20.0122
17427.3	20.0162
17934	20.0196
18644.5	19.8243
19455.3	19.8297
19860.6	19.8324
20570.6	19.7372
21798.9	17.3454
20584.3	17.0373
19873.3	17.3325
19367.6	17.1292
18759	17.2251
18049.6	17.2204
17542.8	17.217
13895.3	16.9927
13288.7	16.6886
12579.3	16.6839
12072.1	16.7805
11464	16.7765
10957.7	16.6731
10351.7	16.269
9742.58	16.465
9136.52	16.0609
8325.73	16.0555
7923.38	15.4529
6608.9	14.8441
6003.34	14.3401
5598.46	14.2374
5295.94	13.9353
5094.76	13.634
4692.41	13.0313
4594.1	12.4307
3989.56	11.7266
3787.37	11.6253
3689.57	10.9246
3285.7	10.6219
2987.74	9.41995
2588.43	8.21729
2287.93	7.51529
2091.31	6.31398
1793.35	5.11199
1493.87	4.20999
1295.73	3.30867
997.77	2.10669
596.939	1.20401
1402.66	2.20938
1600.28	3.2107
1899.77	4.1127
2301.61	4.81538
2398.91	5.61603
2799.23	6.6187
2996.86	7.62001
3399.72	8.1227
3597.85	9.02402
3798.52	9.42536
4200.36	10.128
4603.73	10.5307
4805.92	10.6321
5106.92	11.2341
5307.08	11.7354
5712.48	11.7381
6115.84	12.1408
6821.73	12.8455
7022.9	13.1469
7426.78	13.4495
7932	13.7529
8943.95	14.0597
9550.52	14.3637
10358.8	14.8691
10765.7	14.5718
11372.3	14.8758
12180	15.4812
12687.2	15.3846
13297.9	14.8887
14006.8	14.9934
14512	15.2968
15223	15.0015
15624.8	15.7042
16333.7	15.8089
16637.8	15.811
17650.8	15.9177
18461.5	15.9231
19374.2	15.8292
19881.4	15.7326
20287.3	15.6353
23747.8	12.7584
23242.1	12.555
22634	12.5509
22024.9	12.7469
21214.7	12.6415
20708.4	12.5381
20201.7	12.5347
