0.084746,0.20102,0.40203,22.498,3.8186,-3.6639
0.14124,0.4017,0.80339,22.097,5.0062,-4.8526
0.22599,1.0027,2.0054,20.895,7.3938,-7.2424
0.33898,1.8541,3.7081,19.192,11.884,-11.737
0.45198,2.6554,5.3109,17.589,17.629,-17.491
0.56497,4.0568,8.1136,14.786,23.24,-23.115
0.67797,5.2581,10.516,12.384,26.255,-26.147
0.76271,6.7092,13.418,9.4817,25.67,-25.577
0.90396,9.2109,18.422,4.4783,20.063,-19.994
1.0452,9.6625,19.325,3.5749,12.719,-12.668
1.1017,9.9132,19.826,3.0736,10.166,-10.119
1.2147,10.115,20.229,2.6708,6.1961,-6.1574
1.4124,10.017,20.034,2.8661,2.378,-2.3461
1.4972,10.068,20.136,2.7641,1.5509,-1.5204
1.6949,9.8704,19.741,3.1593,0.56748,-0.53855
1.8927,9.8727,19.745,3.1546,0.21191,-0.18356
2.0057,9.8741,19.748,3.1519,0.1262,-0.097982
2.2316,10.027,20.054,2.8464,0.053663,-0.025545
0.36723,0.6044,1.2088,19.091,6.4853,-6.3673
0.39548,0.95474,1.9095,18.391,7.2202,-7.103
0.48022,1.4058,2.8115,17.488,9.7766,-9.6624
0.59322,2.1071,4.2142,16.086,13.802,-13.694
0.67797,2.6081,5.2163,15.084,16.849,-16.748
0.76271,3.7592,7.5183,12.782,19.306,-19.212
0.84746,4.7102,9.4203,10.88,20.575,-20.491
0.90396,5.7608,11.522,8.7783,20.567,-20.49
1.0452,6.9626,13.925,6.3749,17.723,-17.662
1.1582,7.5139,15.028,5.2722,13.748,-13.699
1.1864,8.1642,16.328,3.9715,12.704,-12.658
1.2994,8.6156,17.231,3.0688,8.8187,-8.7809
1.3842,8.8666,17.733,2.5668,6.4411,-6.408
1.4689,8.6677,17.335,2.9647,4.5912,-4.5615
1.6102,8.6693,17.339,2.9614,2.518,-2.4919
1.8079,8.5717,17.143,3.1566,1.0444,-1.0209
1.9492,8.6734,17.347,2.9532,0.55307,-0.53032
2.1186,8.5754,17.151,3.1492,0.26039,-0.23812
2.2599,8.4771,16.954,3.3458,0.14093,-0.11884
2.4576,8.4795,16.959,3.341,0.065004,-0.043033
2.6271,8.4816,16.963,3.3369,0.039267,-0.01733
2.7966,8.4336,16.867,3.4329,0.02669,-0.004766
2.9661,8.5356,17.071,3.2288,0.022295,-0.00036943
3.1073,8.5873,17.175,3.1254,0.020212,0.0017164
3.4746,8.5417,17.083,3.2166,0.019015,0.0029292
3.7853,8.4454,16.891,3.4092,0.018888,0.0030716
4.1243,8.6495,17.299,3.001,0.018875,0.0031001
