0.053771,0.40066,0.80132,19.699,21.751,-21.736
0.19341,0.80234,1.6047,18.895,19.581,-19.569
0.22029,1.2527,2.5053,17.995,19.144,-19.132
0.30306,1.8537,3.7073,16.793,17.781,-17.77
0.38484,2.8046,5.6093,14.891,16.428,-16.417
0.46719,3.5556,7.1113,13.389,15.082,-15.072
0.49281,4.4559,8.9119,11.588,14.67,-14.66
0.60386,5.0072,10.014,10.486,12.939,-12.93
0.68649,5.6582,11.316,9.1835,11.72,-11.711
0.79741,6.2596,12.519,7.9808,10.197,-10.189
0.88018,6.8606,13.721,6.7788,9.151,-9.1432
0.93578,7.1113,14.223,6.2775,8.4954,-8.4877
0.9911,7.4619,14.924,5.5762,7.8771,-7.8695
1.0466,7.7626,15.525,4.9748,7.2932,-7.2858
1.1865,8.0642,16.128,4.3715,5.9776,-5.9704
1.2984,8.3156,16.631,3.8688,5.0768,-5.0698
1.4104,8.5169,17.034,3.4661,4.2949,-4.288
1.5506,8.7186,17.437,3.0628,3.4716,-3.4649
1.6624,9.0199,18.04,2.4601,2.9233,-2.9166
1.9153,9.173,18.346,2.154,1.9669,-1.9603
2.1403,9.2757,18.551,1.9486,1.3761,-1.3696
2.3086,9.4777,18.955,1.5446,1.0507,-1.0443
2.5618,9.5307,19.061,1.4385,0.69944,-0.69299
2.6745,9.5321,19.064,1.4358,0.58298,-0.57655
2.8715,9.5345,19.069,1.431,0.42431,-0.41789
3.0684,9.5869,19.174,1.3263,0.30914,-0.30273
3.1526,9.6878,19.376,1.1243,0.2698,-0.2634
3.3496,9.7402,19.48,1.0196,0.19707,-0.19067
3.5183,9.7922,19.584,0.9155,0.15073,-0.14434
3.6592,9.7439,19.488,1.0121,0.12081,-0.11442
3.8844,9.7467,19.493,1.0067,0.085347,-0.078955
3.9969,9.798,19.596,0.904,0.071889,-0.065497
4.1941,9.7503,19.501,0.9993,0.053586,-0.047195
4.3058,10.102,20.203,0.2966,0.045763,-0.039372
4.5028,10.104,20.208,0.2919,0.034634,-0.028244
4.672,10.006,20.012,0.4878,0.027828,-0.021437
4.8409,10.008,20.016,0.4838,0.022656,-0.016265
4.9817,10.01,20.02,0.4804,0.01919,-0.012799
5.179,9.9122,19.824,0.6757,0.015625,-0.0092333
5.4043,9.9148,19.83,0.6703,0.012868,-0.0064764
5.5168,9.9162,19.832,0.6676,0.011829,-0.0054367
0.27716,1.0533,2.1067,16.293,15.755,-15.744
0.35992,1.6543,3.3087,15.091,14.896,-14.886
0.41496,2.105,4.21,14.19,14.309,-14.299
0.49815,2.556,5.112,13.288,13.408,-13.399
